incident_id,change_id,description,deployed_at,correlation_score
INC001,CHG001,Database schema update,2026-01-15T14:00:00Z,0.85
INC001,CHG002,Auth service config update,2026-01-16T09:00:00Z,0.72
INC002,CHG003,API gateway version upgrade,2026-01-17T08:00:00Z,0.91
INC003,CHG004,Payment provider SDK upgrade to v3.2.1,2026-01-17T15:00:00Z,0.94
INC003,CHG005,Checkout service timeout configuration change,2026-01-17T16:30:00Z,0.78
INC004,CHG006,Notification template engine update,2026-01-17T11:00:00Z,0.88
INC004,CHG007,Email service batch processing enhancement,2026-01-16T14:00:00Z,0.65
INC005,CHG008,Load balancer SSL configuration update,2026-01-10T09:00:00Z,0.45
INC006,CHG009,Kubernetes node pool scaling automation,2026-01-15T20:00:00Z,0.55
INC006,CHG010,Node resource limits adjustment,2026-01-16T10:00:00Z,0.82
INC007,CHG011,Redis cluster version upgrade to 7.0,2026-01-17T06:00:00Z,0.92
INC007,CHG012,Session service connection pool resize,2026-01-18T08:00:00Z,0.76
INC008,CHG013,Elasticsearch mapping template update,2026-01-18T10:00:00Z,0.89
INC008,CHG014,Product catalog bulk import job,2026-01-18T12:00:00Z,0.71
INC009,CHG015,CDN cache TTL configuration change,2026-01-18T14:00:00Z,0.95
INC009,CHG016,Frontend asset compilation pipeline update,2026-01-18T13:00:00Z,0.68
INC010,CHG017,OAuth client library update,2026-01-18T22:00:00Z,0.87
INC010,CHG018,Auth service rate limiting adjustment,2026-01-19T07:00:00Z,0.52
INC011,CHG019,Database primary storage expansion,2026-01-19T02:00:00Z,0.83
INC011,CHG020,Batch reporting job schedule change,2026-01-19T08:00:00Z,0.91
INC012,CHG021,Order notification feature deployment,2026-01-19T09:00:00Z,0.96
INC012,CHG022,RabbitMQ consumer prefetch configuration,2026-01-19T10:00:00Z,0.74
INC013,CHG023,Container registry storage backend migration,2026-01-14T23:00:00Z,0.93
INC013,CHG024,CI/CD pipeline image caching update,2026-01-15T01:00:00Z,0.67
INC014,CHG025,Fluentd log parsing configuration update,2026-01-19T11:00:00Z,0.88
INC014,CHG026,Elasticsearch index lifecycle policy change,2026-01-19T12:00:00Z,0.79
INC015,CHG027,API rate limiting threshold adjustment,2026-01-14T15:00:00Z,0.97
INC015,CHG028,API gateway routing rules update,2026-01-14T14:00:00Z,0.61
